Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 6536,https://www.congress.gov/bill/114th-congress/house-bill/6536,114th Congress (2015-2016),,No School Bus Drivers with DUIs Act of 2016,"Rep. Meng, Grace [D-NY-6]",12/30/16,,,,0,House - Education and the Workforce,12/30/16,Referred to the House Committee on Education and the Workforce.
H.R. 6535,https://www.congress.gov/bill/114th-congress/house-bill/6535,114th Congress (2015-2016),,Nuclear Sanity Act,"Rep. Grayson, Alan [D-FL-9]",12/27/16,,,,0,"House - Foreign Affairs, Armed Services",12/27/16,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6534,https://www.congress.gov/bill/114th-congress/house-bill/6534,114th Congress (2015-2016),,MadeInAmerica.gov Act,"Rep. Meng, Grace [D-NY-6]",12/20/16,,,,0,House - Energy and Commerce,12/20/16,Referred to the House Committee on Energy and Commerce.
H.R. 6533,https://www.congress.gov/bill/114th-congress/house-bill/6533,114th Congress (2015-2016),,Protect American Democracy Act of 2016,"Rep. Engel, Eliot L. [D-NY-16]",12/20/16,,,,18,"House - Foreign Affairs, Judiciary, Financial Services",12/20/16,"Referred to the Committee on Foreign Affairs, and in addition to the Committees on the Judiciary, and Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6532,https://www.congress.gov/bill/114th-congress/house-bill/6532,114th Congress (2015-2016),,Liberian Refugee Immigration Fairness Act of 2016,"Rep. Ellison, Keith [D-MN-5]",12/20/16,,,,2,House - Judiciary,12/20/16,Referred to the House Committee on the Judiciary.
H.R. 6531,https://www.congress.gov/bill/114th-congress/house-bill/6531,114th Congress (2015-2016),,National Aeronautics and Space Administration Transition Authorization Act of 2016,"Rep. Smith, Lamar [R-TX-21]",12/20/16,,,,0,"House - Science, Space, and Technology",12/20/16,"Referred to the House Committee on Science, Space, and Technology."
H.R. 6530,https://www.congress.gov/bill/114th-congress/house-bill/6530,114th Congress (2015-2016),,No Funding for Sanctuary Campuses Act,"Rep. Hunter, Duncan D. [R-CA-50]",12/16/16,,,,2,House - Education and the Workforce,12/16/16,Referred to the House Committee on Education and the Workforce.
H.R. 6529,https://www.congress.gov/bill/114th-congress/house-bill/6529,114th Congress (2015-2016),,Chugach Region Lands Study Act,"Rep. Young, Don [R-AK-At Large]",12/13/16,,,,0,House - Natural Resources,12/19/16,"Referred to the Subcommittee on Indian, Insular and Alaska Native Affairs."
H.R. 6528,https://www.congress.gov/bill/114th-congress/house-bill/6528,114th Congress (2015-2016),,Litigation Relief for Forest Management Projects Act,"Rep. Zinke, Ryan K. [R-MT-At Large]",12/12/16,,,,0,"House - Natural Resources, Agriculture",12/19/16,Referred to the Subcommittee on Federal Lands.
H.R. 6527,https://www.congress.gov/bill/114th-congress/house-bill/6527,114th Congress (2015-2016),,SADD Act of 2016,"Rep. Fincher, Stephen Lee [R-TN-8]",12/12/16,,,,0,House - Judiciary,12/22/16,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations."
H.R. 6526,https://www.congress.gov/bill/114th-congress/house-bill/6526,114th Congress (2015-2016),,"To eliminate the discretion of the Secretary of Homeland Security regarding the definition of the term ""official purpose"" as it applies to drivers' licenses and personal identification cards, and for other purposes.","Rep. Emmer, Tom [R-MN-6]",12/12/16,,,,0,House - Oversight and Government Reform,12/12/16,Referred to the House Committee on Oversight and Government Reform.
H.R. 6525,https://www.congress.gov/bill/114th-congress/house-bill/6525,114th Congress (2015-2016),,Lead-free Students Act,"Rep. Watson Coleman, Bonnie [D-NJ-12]",12/8/16,,,,0,House - Education and the Workforce,12/8/16,Referred to the House Committee on Education and the Workforce.
H.R. 6524,https://www.congress.gov/bill/114th-congress/house-bill/6524,114th Congress (2015-2016),,Hudson-Mohawk River Basin Act,"Rep. Tonko, Paul [D-NY-20]",12/8/16,,,,0,"House - Natural Resources, Transportation and Infrastructure",12/19/16,Referred to the Subcommittee on Federal Lands.
H.R. 6523,https://www.congress.gov/bill/114th-congress/house-bill/6523,114th Congress (2015-2016),,Safe Transfer Act,"Rep. Speier, Jackie [D-CA-14]",12/8/16,,,,6,House - Education and the Workforce,12/8/16,Referred to the House Committee on Education and the Workforce.
H.R. 6522,https://www.congress.gov/bill/114th-congress/house-bill/6522,114th Congress (2015-2016),,Public Release and Implementation of Department of Defense Overhead Cost Savings Act,"Rep. Schrader, Kurt [D-OR-5]",12/8/16,,,,0,"House - Armed Services, Rules",12/8/16,"Referred to the Committee on Armed Services, and in addition to the Committee on Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
