Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 6521,https://www.congress.gov/bill/114th-congress/house-bill/6521,114th Congress (2015-2016),,Students and Families Empowerment Act,"Rep. Rice, Kathleen M. [D-NY-4]",12/8/16,,,,0,"House - Ways and Means, Education and the Workforce",12/8/16,"Referred to the Committee on Ways and Means, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6520,https://www.congress.gov/bill/114th-congress/house-bill/6520,114th Congress (2015-2016),,Younger-Onset Alzheimer's Disease Parity Act of 2016,"Rep. Rice, Kathleen M. [D-NY-4]",12/8/16,,,,0,House - Education and the Workforce,12/8/16,Referred to the House Committee on Education and the Workforce.
H.R. 6519,https://www.congress.gov/bill/114th-congress/house-bill/6519,114th Congress (2015-2016),,Safeguarding Sanctuary Cities Act of 2016,"Rep. Quigley, Mike [D-IL-5]",12/8/16,,,,0,"House - Judiciary, Oversight and Government Reform",12/22/16,Referred to the Subcommittee on Immigration and Border Security.
H.R. 6518,https://www.congress.gov/bill/114th-congress/house-bill/6518,114th Congress (2015-2016),,MACPAC Improvement Act of 2016,"Rep. Pitts, Joseph R. [R-PA-16]",12/8/16,,,,7,House - Energy and Commerce,12/8/16,Referred to the House Committee on Energy and Commerce.
H.R. 6517,https://www.congress.gov/bill/114th-congress/house-bill/6517,114th Congress (2015-2016),,INFORM Act,"Rep. O'Rourke, Beto [D-TX-16]",12/8/16,,,,1,"House - Veterans' Affairs, Armed Services",12/8/16,Referred to the Subcommittee on Health.
H.R. 6516,https://www.congress.gov/bill/114th-congress/house-bill/6516,114th Congress (2015-2016),,"To amend the Veterans Access, Choice, and Accountability Act of 2014 to expand eligibility for the Veterans Choice Program of the Department of Veterans Affairs, to establish a minimum period of care or services under such program, and for other purposes.","Rep. O'Rourke, Beto [D-TX-16]",12/8/16,,,,1,House - Veterans' Affairs,12/8/16,Referred to the Subcommittee on Health.
H.R. 6515,https://www.congress.gov/bill/114th-congress/house-bill/6515,114th Congress (2015-2016),,Fairness to Teaching Hospitals Act of 2016,"Rep. Mullin, Markwayne [R-OK-2]",12/8/16,,,,4,"House - Ways and Means, Energy and Commerce",12/8/16,"Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6514,https://www.congress.gov/bill/114th-congress/house-bill/6514,114th Congress (2015-2016),,"To amend the Patient Protection and Affordable Care Act to redirect user fees assessed of health insurance issuers on Federal Exchanges, and for other purposes.","Rep. Lance, Leonard [R-NJ-7]",12/8/16,,,,0,House - Energy and Commerce,12/8/16,Referred to the House Committee on Energy and Commerce.
H.R. 6513,https://www.congress.gov/bill/114th-congress/house-bill/6513,114th Congress (2015-2016),,American Future Healthcare Act of 2016,"Rep. King, Steve [R-IA-4]",12/8/16,,,,0,House - Ways and Means,12/8/16,Referred to the House Committee on Ways and Means.
H.R. 6512,https://www.congress.gov/bill/114th-congress/house-bill/6512,114th Congress (2015-2016),,Mental Health and Substance Abuse Treatment Accessibility Act of 2016,"Rep. Kilmer, Derek [D-WA-6]",12/8/16,,,,2,House - Energy and Commerce,12/8/16,Referred to the House Committee on Energy and Commerce.
H.R. 6511,https://www.congress.gov/bill/114th-congress/house-bill/6511,114th Congress (2015-2016),,One President at a Time Act of 2016,"Rep. Huffman, Jared [D-CA-2]",12/8/16,,,,0,House - Judiciary,12/22/16,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations."
H.R. 6510,https://www.congress.gov/bill/114th-congress/house-bill/6510,114th Congress (2015-2016),,Save the Children Act of 2016,"Rep. Honda, Michael M. [D-CA-17]",12/8/16,,,,0,House - Judiciary,12/22/16,Referred to the Subcommittee on Immigration and Border Security.
H.R. 6509,https://www.congress.gov/bill/114th-congress/house-bill/6509,114th Congress (2015-2016),,Solider's HONR Act,"Rep. Heck, Denny [D-WA-10]",12/8/16,,,,0,House - Veterans' Affairs,12/8/16,Referred to the Subcommittee on Economic Opportunity.
H.R. 6508,https://www.congress.gov/bill/114th-congress/house-bill/6508,114th Congress (2015-2016),,Preventing Preventable Earthquakes Act,"Rep. Grijalva, Raul M. [D-AZ-3]",12/8/16,,,,0,House - Energy and Commerce,12/8/16,Referred to the House Committee on Energy and Commerce.
H.R. 6507,https://www.congress.gov/bill/114th-congress/house-bill/6507,114th Congress (2015-2016),,"To amend section 552 of title 5, United States Code (commonly known as the Freedom of Information Act), to require an agency to release the Federal income tax returns of the President upon request, and for other purposes.","Rep. Grayson, Alan [D-FL-9]",12/8/16,,,,0,"House - Ways and Means, Oversight and Government Reform",12/8/16,"Referred to the Committee on Ways and Means, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6506,https://www.congress.gov/bill/114th-congress/house-bill/6506,114th Congress (2015-2016),,"To provide that the President shall be financially responsible for any additional security measures imposed on property in which the President holds an ownership interest, and for other purposes.","Rep. Grayson, Alan [D-FL-9]",12/8/16,,,,0,House - Oversight and Government Reform,12/8/16,Referred to the House Committee on Oversight and Government Reform.
H.R. 6505,https://www.congress.gov/bill/114th-congress/house-bill/6505,114th Congress (2015-2016),,Andrew Joseph III Act of 2016,"Rep. Grayson, Alan [D-FL-9]",12/8/16,,,,0,House - Judiciary,12/22/16,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations."
H.R. 6504,https://www.congress.gov/bill/114th-congress/house-bill/6504,114th Congress (2015-2016),,"To prohibit the use of United States Government funds to provide assistance to Al Qaeda, Jabhat Fateh al-Sham, and the Islamic State of Iraq and the Levant (ISIL) and to countries supporting those organizations, and for other purposes.","Rep. Gabbard, Tulsi [D-HI-2]",12/8/16,,,,5,"House - Foreign Affairs, Intelligence (Permanent)",12/8/16,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6503,https://www.congress.gov/bill/114th-congress/house-bill/6503,114th Congress (2015-2016),,Care for Life Act,"Rep. Fortenberry, Jeff [R-NE-1]",12/8/16,,,,0,"House - Energy and Commerce, Education and the Workforce",12/8/16,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6502,https://www.congress.gov/bill/114th-congress/house-bill/6502,114th Congress (2015-2016),,Seat Belts Save Lives Act of 2016,"Rep. Duckworth, Tammy [D-IL-8]",12/8/16,,,,1,House - Transportation and Infrastructure,12/8/16,Referred to the House Committee on Transportation and Infrastructure.
H.R. 6501,https://www.congress.gov/bill/114th-congress/house-bill/6501,114th Congress (2015-2016),,Prescription Drug and Medical Device Price Review Board Act of 2016,"Rep. DeLauro, Rosa L. [D-CT-3]",12/8/16,,,,8,"House - Energy and Commerce, Ways and Means, Judiciary",12/22/16,"Referred to the Subcommittee on Courts, Intellectual Property, and the Internet."
H.R. 6500,https://www.congress.gov/bill/114th-congress/house-bill/6500,114th Congress (2015-2016),,Moving Housing Forward Act of 2016,"Rep. Delaney, John K. [D-MD-6]",12/8/16,,,,2,"House - Financial Services, Ways and Means",12/8/16,"Referred to the Committee on Financial Services, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6499,https://www.congress.gov/bill/114th-congress/house-bill/6499,114th Congress (2015-2016),,Second Chance for Ex-Offenders Act of 2016,"Rep. Davis, Danny K. [D-IL-7]",12/8/16,,,,0,House - Judiciary,12/22/16,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations."
H.R. 6498,https://www.congress.gov/bill/114th-congress/house-bill/6498,114th Congress (2015-2016),,Presidential Tax Disclosure Act of 2016,"Rep. Cicilline, David N. [D-RI-1]",12/8/16,,,,22,"House - Oversight and Government Reform, Ways and Means",12/8/16,"Referred to the Committee on Oversight and Government Reform, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6497,https://www.congress.gov/bill/114th-congress/house-bill/6497,114th Congress (2015-2016),,TSA Screening Transparency and Accountability Act,"Rep. Carter, Earl L. ""Buddy"" [R-GA-1]",12/8/16,,,,0,House - Homeland Security,12/8/16,Referred to the House Committee on Homeland Security.
H.R. 6496,https://www.congress.gov/bill/114th-congress/house-bill/6496,114th Congress (2015-2016),,Fairness for American Small Creators Act,"Rep. Chu, Judy [D-CA-27]",12/8/16,,,,1,House - Judiciary,12/22/16,"Referred to the Subcommittee on Courts, Intellectual Property, and the Internet."
H.R. 6495,https://www.congress.gov/bill/114th-congress/house-bill/6495,114th Congress (2015-2016),,Ensure Access to DACA Act,"Rep. Veasey, Marc A. [D-TX-33]",12/8/16,,,,1,House - Judiciary,12/22/16,Referred to the Subcommittee on Immigration and Border Security.
H.R. 6494,https://www.congress.gov/bill/114th-congress/house-bill/6494,114th Congress (2015-2016),,Postage Free Ballot Act,"Rep. Veasey, Marc A. [D-TX-33]",12/8/16,,,,0,"House - Oversight and Government Reform, House Administration",12/8/16,"Referred to the Committee on Oversight and Government Reform, and in addition to the Committee on House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6493,https://www.congress.gov/bill/114th-congress/house-bill/6493,114th Congress (2015-2016),,Service Members Financial Planning Assistance Act of 2016,"Rep. Veasey, Marc A. [D-TX-33]",12/8/16,,,,0,House - Armed Services,12/8/16,Referred to the House Committee on Armed Services.
H.R. 6492,https://www.congress.gov/bill/114th-congress/house-bill/6492,114th Congress (2015-2016),,Tax Benefit for Homeownership Clarification Act,"Rep. Ellison, Keith [D-MN-5]",12/8/16,,,,0,House - Ways and Means,12/8/16,Referred to the House Committee on Ways and Means.
H.R. 6491,https://www.congress.gov/bill/114th-congress/house-bill/6491,114th Congress (2015-2016),,"To authorize the Secretary of the Interior to convey certain land to La Paz County, Arizona, and for other purposes.","Rep. Gosar, Paul A. [R-AZ-4]",12/8/16,,,,0,House - Natural Resources,12/16/16,Referred to the Subcommittee on Federal Lands.
H.R. 6490,https://www.congress.gov/bill/114th-congress/house-bill/6490,114th Congress (2015-2016),,American Innovation and Competitiveness Act,"Rep. Smith, Lamar [R-TX-21]",12/8/16,,,,0,"House - Science, Space, and Technology, Oversight and Government Reform, Education and the Workforce",12/8/16,"Referred to the Committee on Science, Space, and Technology, and in addition to the Committees on Oversight and Government Reform, and Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6489,https://www.congress.gov/bill/114th-congress/house-bill/6489,114th Congress (2015-2016),,Social Security Reform Act of 2016,"Rep. Johnson, Sam [R-TX-3]",12/8/16,,,,0,House - Ways and Means,12/8/16,Referred to the House Committee on Ways and Means.
H.R. 6488,https://www.congress.gov/bill/114th-congress/house-bill/6488,114th Congress (2015-2016),,Municipal Securities Disclosure Act of 2016,"Rep. Moore, Gwen [D-WI-4]",12/8/16,,,,0,House - Financial Services,12/8/16,Referred to the House Committee on Financial Services.
H.R. 6487,https://www.congress.gov/bill/114th-congress/house-bill/6487,114th Congress (2015-2016),,Taxpayer Protections and Market Access for Mortgage Finance Act of 2016,"Rep. Royce, Edward R. [R-CA-39]",12/8/16,,,,1,"House - Financial Services, Agriculture, Ways and Means",12/16/16,"Referred to the Subcommittee on Commodity Exchanges, Energy, and Credit."
H.R. 6486,https://www.congress.gov/bill/114th-congress/house-bill/6486,114th Congress (2015-2016),,Laquan McDonald Camera Act of 2016,"Rep. Rush, Bobby L. [D-IL-1]",12/8/16,,,,0,House - Judiciary,12/22/16,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations."
H.R. 6485,https://www.congress.gov/bill/114th-congress/house-bill/6485,114th Congress (2015-2016),,Improving Care for Vulnerable Older Citizens through Workforce Advancement Act of 2016,"Rep. Cartwright, Matt [D-PA-17]",12/8/16,,,,5,House - Education and the Workforce,12/8/16,Referred to the House Committee on Education and the Workforce.
H.R. 6484,https://www.congress.gov/bill/114th-congress/house-bill/6484,114th Congress (2015-2016),,"Commission to Study Family Reconstruction Proposals for African-Americans Unjustly Impacted by the ""War on Drugs"" Act of 2016","Rep. Rush, Bobby L. [D-IL-1]",12/8/16,,,,0,House - Judiciary,12/22/16,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations."
H.R. 6483,https://www.congress.gov/bill/114th-congress/house-bill/6483,114th Congress (2015-2016),,SWINE Act,"Rep. Price, David E. [D-NC-4]",12/8/16,,,,0,"House - Agriculture, Ways and Means",12/13/16,Sponsor introductory remarks on measure. (CR E1717)
H.R. 6482,https://www.congress.gov/bill/114th-congress/house-bill/6482,114th Congress (2015-2016),,Frank R. Wolf International Religious Freedom Act,"Rep. Smith, Christopher H. [R-NJ-4]",12/8/16,,,,0,"House - Foreign Affairs, Financial Services, Oversight and Government Reform",12/8/16,"Referred to the Committee on Foreign Affairs, and in addition to the Committees on Financial Services, and Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6481,https://www.congress.gov/bill/114th-congress/house-bill/6481,114th Congress (2015-2016),,Urban Agriculture Production Act of 2016,"Rep. Kaptur, Marcy [D-OH-9]",12/8/16,,,,5,House - Agriculture,12/8/16,Referred to the House Committee on Agriculture.
H.R. 6480,https://www.congress.gov/bill/114th-congress/house-bill/6480,114th Congress (2015-2016),,Intelligence Authorization Act for Fiscal Year 2017,"Rep. Nunes, Devin [R-CA-22]",12/8/16,,,,1,House - Intelligence (Permanent),12/8/16,Received in the Senate.
H.R. 6479,https://www.congress.gov/bill/114th-congress/house-bill/6479,114th Congress (2015-2016),,Red River Gradient Boundary Survey Act,"Rep. Thornberry, Mac [R-TX-13]",12/8/16,,,,0,House - Natural Resources,12/15/16,Referred to the Subcommittee on Federal Lands.
H.R. 6478,https://www.congress.gov/bill/114th-congress/house-bill/6478,114th Congress (2015-2016),,Interstate Doxxing Prevention Act,"Rep. Clark, Katherine M. [D-MA-5]",12/8/16,,,,0,House - Judiciary,12/22/16,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations."
H.R. 6477,https://www.congress.gov/bill/114th-congress/house-bill/6477,114th Congress (2015-2016),,Foreign Cultural Exchange Jurisdictional Immunity Clarification Act,"Rep. Chabot, Steve [R-OH-1]",12/8/16,,,,3,,12/16/16,Became Public Law No: 114-319.
H.R. 6476,https://www.congress.gov/bill/114th-congress/house-bill/6476,114th Congress (2015-2016),,DRAIN the SWAMP Act,"Rep. DeFazio, Peter A. [D-OR-4]",12/8/16,,,,4,House - Judiciary,12/22/16,Referred to the Subcommittee on the Constitution and Civil Justice.
H.R. 6475,https://www.congress.gov/bill/114th-congress/house-bill/6475,114th Congress (2015-2016),,"To remove reversionary clauses on property owned by the municipality of Anchorage, Alaska.","Rep. Young, Don [R-AK-At Large]",12/7/16,,,,0,House - Natural Resources,12/12/16,Referred to the Subcommittee on Federal Lands.
H.R. 6474,https://www.congress.gov/bill/114th-congress/house-bill/6474,114th Congress (2015-2016),,To eliminate the daily newspaper cross-ownership rule of the Federal Communications Commission.,"Rep. Walden, Greg [R-OR-2]",12/7/16,,,,7,House - Energy and Commerce,12/7/16,Referred to the House Committee on Energy and Commerce.
H.R. 6473,https://www.congress.gov/bill/114th-congress/house-bill/6473,114th Congress (2015-2016),,To express the sense of Congress that information security is critical to the economic security of the United States and to direct the Assistant Secretary of Commerce for Communications and Information to submit to Congress a report on the costs of information security.,"Rep. Upton, Fred [R-MI-6]",12/7/16,,,,0,House - Energy and Commerce,12/7/16,Referred to the House Committee on Energy and Commerce.
H.R. 6472,https://www.congress.gov/bill/114th-congress/house-bill/6472,114th Congress (2015-2016),,Teachers and Parents at the Table Act,"Rep. Rice, Kathleen M. [D-NY-4]",12/7/16,,,,1,House - Education and the Workforce,12/7/16,Referred to the House Committee on Education and the Workforce.
H.R. 6471,https://www.congress.gov/bill/114th-congress/house-bill/6471,114th Congress (2015-2016),,Army Combat Action Badge Eligibility Act,"Rep. Mooney, Alexander X. [R-WV-2]",12/7/16,,,,0,House - Armed Services,12/7/16,Referred to the House Committee on Armed Services.
H.R. 6470,https://www.congress.gov/bill/114th-congress/house-bill/6470,114th Congress (2015-2016),,Graduate Student Savings Act of 2016,"Rep. Kennedy, Joseph P., III [D-MA-4]",12/7/16,,,,1,House - Ways and Means,12/7/16,Referred to the House Committee on Ways and Means.
H.R. 6469,https://www.congress.gov/bill/114th-congress/house-bill/6469,114th Congress (2015-2016),,Yurok Lands Act,"Rep. Huffman, Jared [D-CA-2]",12/7/16,,,,0,House - Natural Resources,12/15/16,"Referred to the Subcommittee on Indian, Insular and Alaska Native Affairs."
H.R. 6468,https://www.congress.gov/bill/114th-congress/house-bill/6468,114th Congress (2015-2016),,FILCA of 2016,"Rep. Harris, Andy [R-MD-1]",12/7/16,,,,34,"House - Judiciary, Oversight and Government Reform, Appropriations",12/22/16,Referred to the Subcommittee on Immigration and Border Security.
H.R. 6467,https://www.congress.gov/bill/114th-congress/house-bill/6467,114th Congress (2015-2016),,Use It or Choose It Act of 2016,"Rep. Grayson, Alan [D-FL-9]",12/7/16,,,,0,House - Education and the Workforce,12/7/16,Referred to the House Committee on Education and the Workforce.
H.R. 6466,https://www.congress.gov/bill/114th-congress/house-bill/6466,114th Congress (2015-2016),,APP Act,"Rep. Emmer, Tom [R-MN-6]",12/7/16,,,,1,House - Oversight and Government Reform,12/7/16,Referred to the House Committee on Oversight and Government Reform.
H.R. 6465,https://www.congress.gov/bill/114th-congress/house-bill/6465,114th Congress (2015-2016),,"To authorize the incorporation of water quality improvement partnership programs into Federal Water Pollution Control Act NPDES permit programs, and for other purposes.","Rep. Duncan, John J., Jr. [R-TN-2]",12/7/16,,,,0,House - Transportation and Infrastructure,12/7/16,Referred to the House Committee on Transportation and Infrastructure.
H.R. 6464,https://www.congress.gov/bill/114th-congress/house-bill/6464,114th Congress (2015-2016),,Teach to Lead Act of 2016,"Rep. Davis, Susan A. [D-CA-53]",12/7/16,,,,0,House - Education and the Workforce,12/7/16,Referred to the House Committee on Education and the Workforce.
H.R. 6463,https://www.congress.gov/bill/114th-congress/house-bill/6463,114th Congress (2015-2016),,Patient Safety and Toxicology Modernization Act of 2016,"Rep. Collins, Chris [R-NY-27]",12/7/16,,,,1,House - Energy and Commerce,12/7/16,Referred to the House Committee on Energy and Commerce.
H.R. 6462,https://www.congress.gov/bill/114th-congress/house-bill/6462,114th Congress (2015-2016),,Prioritizing the Most Vulnerable Americans Act,"Rep. Collins, Chris [R-NY-27]",12/7/16,,,,5,House - Energy and Commerce,12/7/16,Referred to the House Committee on Energy and Commerce.
H.R. 6461,https://www.congress.gov/bill/114th-congress/house-bill/6461,114th Congress (2015-2016),,Bring Enhanced Liability in Transportation for Students Act,"Rep. Cohen, Steve [D-TN-9]",12/7/16,,,,0,"House - Transportation and Infrastructure, Education and the Workforce",12/7/16,"Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6460,https://www.congress.gov/bill/114th-congress/house-bill/6460,114th Congress (2015-2016),,Buy America for Drinking Water Extension Act of 2016,"Rep. Bustos, Cheri [D-IL-17]",12/7/16,,,,13,House - Energy and Commerce,12/7/16,Referred to the House Committee on Energy and Commerce.
H.R. 6459,https://www.congress.gov/bill/114th-congress/house-bill/6459,114th Congress (2015-2016),,Supporting Youth Opportunity and Preventing Delinquency Act of 2016,"Rep. Curbelo, Carlos [R-FL-26]",12/7/16,,,,1,House - Education and the Workforce,12/7/16,Referred to the House Committee on Education and the Workforce.
H.R. 6458,https://www.congress.gov/bill/114th-congress/house-bill/6458,114th Congress (2015-2016),,Help our Neediest Families Act of 2016,"Rep. Veasey, Marc A. [D-TX-33]",12/7/16,,,,0,"House - Ways and Means, Financial Services",12/7/16,"Referred to the Committee on Ways and Means, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6457,https://www.congress.gov/bill/114th-congress/house-bill/6457,114th Congress (2015-2016),,Preventive Services Medicare Parity Act of 2016,"Rep. Veasey, Marc A. [D-TX-33]",12/7/16,,,,0,"House - Energy and Commerce, Ways and Means",12/7/16,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6456,https://www.congress.gov/bill/114th-congress/house-bill/6456,114th Congress (2015-2016),,End the Backlog Act,"Rep. Veasey, Marc A. [D-TX-33]",12/7/16,,,,0,"House - Homeland Security, Ways and Means, Judiciary",12/12/16,Referred to the Subcommittee on Border and Maritime Security.
H.R. 6455,https://www.congress.gov/bill/114th-congress/house-bill/6455,114th Congress (2015-2016),,Energizing American Maritime Act,"Rep. Garamendi, John [D-CA-3]",12/7/16,,,,1,"House - Energy and Commerce, Foreign Affairs",12/7/16,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6454,https://www.congress.gov/bill/114th-congress/house-bill/6454,114th Congress (2015-2016),,Energizing American Shipbuilding and Maritime Act,"Rep. Garamendi, John [D-CA-3]",12/7/16,,,,0,"House - Energy and Commerce, Foreign Affairs",12/7/16,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6453,https://www.congress.gov/bill/114th-congress/house-bill/6453,114th Congress (2015-2016),,"To clarify the effect of a Memorandum Opinion for the Assistant Attorney General, Criminal Division, dated September 20, 2011, and pertaining to the lawfulness of proposals by Illinois and New York to use the Internet and out-of-state transaction processors to sell lottery tickets to in-state adults, and for other purposes.","Rep. Fitzpatrick, Michael G. [R-PA-8]",12/7/16,,,,2,"House - Financial Services, Judiciary",12/22/16,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations."
