Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 6616,https://www.congress.gov/bill/116th-congress/house-bill/6616,116th Congress (2019-2020),,"To amend title XIX of the Social Security Act to allow States to provide coverage under the Medicaid program for vaccines and treatment for COVID-19 for uninsured individuals without the imposition of cost sharing requirements, and for other purposes.","Rep. Cardenas, Tony [D-CA-29]",4/24/20,,,,1,House - Energy and Commerce,4/24/20,Referred to the House Committee on Energy and Commerce.
H.R. 6615,https://www.congress.gov/bill/116th-congress/house-bill/6615,116th Congress (2019-2020),,"To direct the Librarian of Congress to establish a program in the American Folklife Center to collect video and audio recordings of personal histories and testimonials of those affected by the COVID-19 pandemic, and for other purposes.","Rep. Bera, Ami [D-CA-7]",4/24/20,,,,0,House - House Administration,4/24/20,Referred to the House Committee on House Administration.
H.R. 6614,https://www.congress.gov/bill/116th-congress/house-bill/6614,116th Congress (2019-2020),,"To amend title 5, United States Code, to provide that sums in the Thrift Savings Fund may not be invested in securities that are listed on certain foreign exchanges, and for other purposes.","Rep. Waltz, Michael [R-FL-6]",4/23/20,,,,19,House - Oversight and Reform,4/23/20,Referred to the House Committee on Oversight and Reform.
H.R. 6613,https://www.congress.gov/bill/116th-congress/house-bill/6613,116th Congress (2019-2020),,"To direct the Secretary of Defense to strengthen the United States commitment to the security of the Indo-Pacific region and to increase military readiness to defend the homeland and underwrite United States national interests, and for other purposes.","Rep. Thornberry, Mac [R-TX-13]",4/23/20,,,,0,"House - Armed Services, Foreign Affairs, Intelligence (Permanent)",4/23/20,"Referred to the Committee on Armed Services, and in addition to the Committees on Foreign Affairs, and Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6612,https://www.congress.gov/bill/116th-congress/house-bill/6612,116th Congress (2019-2020),,"To direct the Secretary of Veterans Affairs to prescribe the technical qualifications for licensed hearing aid specialists of the Department of Veterans Affairs, and for other purposes.","Rep. Takano, Mark [D-CA-41]",4/23/20,,,,1,House - Veterans' Affairs,4/23/20,Referred to the House Committee on Veterans' Affairs.
H.R. 6611,https://www.congress.gov/bill/116th-congress/house-bill/6611,116th Congress (2019-2020),,"Making supplemental appropriations for fiscal year 2020 for the Department of Agriculture to respond to the COVID-19 pandemic, and for other purposes.","Rep. Scott, Austin [R-GA-8]",4/23/20,,,,31,"House - Appropriations, Budget",4/23/20,"Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6610,https://www.congress.gov/bill/116th-congress/house-bill/6610,116th Congress (2019-2020),,"To establish the Cabinet-level position of Director of Pandemic and Biodefense Preparedness and Response in the Executive Branch with the responsibility of developing a National Pandemic and Biodefense Preparedness and Response Strategy, to prepare for and coordinate the response to future pandemics, biological attacks, and other major health crises, including coordinating the work of multiple government agencies, and for other purposes.","Rep. Rose, Max [D-NY-11]",4/23/20,,,,3,"House - Energy and Commerce, Transportation and Infrastructure, Armed Services, Foreign Affairs, Intelligence (Permanent)",4/24/20,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management."
H.R. 6609,https://www.congress.gov/bill/116th-congress/house-bill/6609,116th Congress (2019-2020),,"To provide for the immediate procurement of COVID-19 medical testing components, materials, and supplies under the Defense Production Act of 1950.","Rep. Panetta, Jimmy [D-CA-20]",4/23/20,,,,28,House - Financial Services,4/23/20,Referred to the House Committee on Financial Services.
H.R. 6608,https://www.congress.gov/bill/116th-congress/house-bill/6608,116th Congress (2019-2020),,"To provide for the availability of menstrual hygiene products for homeless individuals under the Federal Emergency Management Agency emergency food and shelter grant program, and for other purposes.","Rep. Meng, Grace [D-NY-6]",4/23/20,,,,1,House - Financial Services,4/23/20,Referred to the House Committee on Financial Services.
H.R. 6607,https://www.congress.gov/bill/116th-congress/house-bill/6607,116th Congress (2019-2020),,"To direct the Secretary of Health and Human Services to establish, in coordination with the Director of the strategic national stockpile, the National Emergency Biodefense Network, and for other purposes.","Rep. Lynch, Stephen F. [D-MA-8]",4/23/20,,,,1,House - Energy and Commerce,4/23/20,Referred to the House Committee on Energy and Commerce.
H.R. 6606,https://www.congress.gov/bill/116th-congress/house-bill/6606,116th Congress (2019-2020),,"To require the Administrator of the Environmental Protection Agency to promulgate regulations establishing emission standards for emissions of greenhouse gases from aircraft, and for other purposes.","Rep. Levin, Mike [D-CA-49]",4/23/20,,,,0,House - Energy and Commerce,4/23/20,Referred to the House Committee on Energy and Commerce.
H.R. 6605,https://www.congress.gov/bill/116th-congress/house-bill/6605,116th Congress (2019-2020),,"To provide additional amounts to the Public Health and Social Services Emergency Fund, and for other purposes.","Rep. Hayes, Jahana [D-CT-5]",4/23/20,,,,0,House - Appropriations,4/23/20,Referred to the House Committee on Appropriations.
H.R. 6604,https://www.congress.gov/bill/116th-congress/house-bill/6604,116th Congress (2019-2020),,To amend the National Telecommunications and Information Administration Organization Act to establish a Commerce Spectrum Management Advisory Committee.,"Rep. Griffith, H. Morgan [R-VA-9]",4/23/20,,,,0,House - Energy and Commerce,4/23/20,Referred to the House Committee on Energy and Commerce.
H.R. 6603,https://www.congress.gov/bill/116th-congress/house-bill/6603,116th Congress (2019-2020),,"To authorize the Secretary of the Interior to conduct a study to assess the suitability and feasibility of designating certain land as the Ka ena Point National Heritage Area, and for other purposes.","Rep. Case, Ed [D-HI-1]",4/23/20,,,,1,House - Natural Resources,4/23/20,Referred to the House Committee on Natural Resources.
H.R. 6602,https://www.congress.gov/bill/116th-congress/house-bill/6602,116th Congress (2019-2020),,"To provide assistance under programs relating to COVID-19 of the Small Business Administration to cannabis businesses and their service providers, and for other purposes.","Rep. Blumenauer, Earl [D-OR-3]",4/23/20,,,,16,House - Small Business,4/23/20,Referred to the House Committee on Small Business.
H.R. 6601,https://www.congress.gov/bill/116th-congress/house-bill/6601,116th Congress (2019-2020),,To require a particular jury instruction in Federal civil actions that include a claim for damages based on negligence arising from the transmission of COVID-19.,"Rep. Biggs, Andy [R-AZ-5]",4/23/20,,,,0,House - Judiciary,4/23/20,Referred to the House Committee on the Judiciary.
H.R. 6600,https://www.congress.gov/bill/116th-congress/house-bill/6600,116th Congress (2019-2020),,"To authorize the Director of the National Institutes of Health to establish prize competitions to incentivize research by institutions of higher education on point-of-care testing for the detection of current or past infection with COVID-19, and for other purposes.","Rep. Beyer, Donald S., Jr. [D-VA-8]",4/23/20,,,,0,"House - Energy and Commerce, Science, Space, and Technology",4/23/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6599,https://www.congress.gov/bill/116th-congress/house-bill/6599,116th Congress (2019-2020),,"To provide for coordination of research and development for pandemic disease prediction, forecasting and computing and for other purposes.","Rep. Lucas, Frank D. [R-OK-3]",4/23/20,,,,8,"House - Energy and Commerce, Science, Space, and Technology",4/23/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6598,https://www.congress.gov/bill/116th-congress/house-bill/6598,116th Congress (2019-2020),,"To preserve national security by providing guarantees to investors for investments in businesses at risk of predatory economic tactics by the Communist Party of the People's Republic of China, and for other purposes.","Rep. Green, Mark E. [R-TN-7]",4/23/20,,,,0,"House - Financial Services, Foreign Affairs",4/23/20,"Referred to the Committee on Financial Services, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6597,https://www.congress.gov/bill/116th-congress/house-bill/6597,116th Congress (2019-2020),,"To extend zero interest rate benefits and payment suspension to certain Federal student loan borrowers, and for other purposes.","Rep. Stefanik, Elise M. [R-NY-21]",4/22/20,,,,7,House - Education and Labor,4/22/20,Referred to the House Committee on Education and Labor.
H.R. 6596,https://www.congress.gov/bill/116th-congress/house-bill/6596,116th Congress (2019-2020),,To realign the nuclear forensics and attribution activities of the Federal Government from the Department of Homeland Security to the National Nuclear Security Administration.,"Rep. Foster, Bill [D-IL-11]",4/22/20,,,,1,"House - Energy and Commerce, Armed Services, Homeland Security, Foreign Affairs",4/22/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Armed Services, Homeland Security, and Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6595,https://www.congress.gov/bill/116th-congress/house-bill/6595,116th Congress (2019-2020),,"To expedite and expand provision of American Citizen Services worldwide during the COVID-19 pandemic, and for other purposes.","Rep. Castro, Joaquin [D-TX-20]",4/22/20,,,,0,House - Foreign Affairs,4/22/20,Referred to the House Committee on Foreign Affairs.
H.R. 6594,https://www.congress.gov/bill/116th-congress/house-bill/6594,116th Congress (2019-2020),,"To provide that businesses with legal gaming revenue are eligible for certain assistance relating to COVID-19, and for other purposes.","Rep. Titus, Dina [D-NV-1]",4/21/20,,,,7,House - Small Business,4/21/20,Referred to the House Committee on Small Business.
H.R. 6593,https://www.congress.gov/bill/116th-congress/house-bill/6593,116th Congress (2019-2020),,"To amend certain retirement provisions for judges serving in territorial district courts, and for other purposes.","Rep. San Nicolas, Michael F. Q. [D-GU-At Large]",4/21/20,,,,2,House - Judiciary,4/21/20,Referred to the House Committee on the Judiciary.
H.R. 6592,https://www.congress.gov/bill/116th-congress/house-bill/6592,116th Congress (2019-2020),,"To provide for an enhanced Coronavirus relief fund, and for other purposes.","Rep. Perlmutter, Ed [D-CO-7]",4/21/20,,,,21,House - Oversight and Reform,4/21/20,Referred to the House Committee on Oversight and Reform.
H.R. 6591,https://www.congress.gov/bill/116th-congress/house-bill/6591,116th Congress (2019-2020),,"To ensure that veterans receive timely and effective health care under the Veterans Community Care Program and Veterans Care Agreements during the COVID-19 emergency, and for other purposes.","Rep. Pappas, Chris [D-NH-1]",4/21/20,,,,0,House - Veterans' Affairs,4/21/20,Referred to the House Committee on Veterans' Affairs.
H.R. 6590,https://www.congress.gov/bill/116th-congress/house-bill/6590,116th Congress (2019-2020),,To defer action regarding certain debts arising from benefits under laws administered by the Secretary of Veterans Affairs for a period of time including the COVID-19 emergency period.,"Rep. Pappas, Chris [D-NH-1]",4/21/20,,,,0,House - Veterans' Affairs,4/21/20,Referred to the House Committee on Veterans' Affairs.
H.R. 6589,https://www.congress.gov/bill/116th-congress/house-bill/6589,116th Congress (2019-2020),,"To direct the Secretary of Veterans Affairs to develop and submit to Congress a plan to address the material weakness of the Department of Veterans Affairs, and for other purposes.","Rep. Lee, Susie [D-NV-3]",4/21/20,,,,0,House - Veterans' Affairs,4/21/20,Referred to the House Committee on Veterans' Affairs.
H.R. 6588,https://www.congress.gov/bill/116th-congress/house-bill/6588,116th Congress (2019-2020),,"To establish the Homeland Security Higher Education Advisory Council, and for other purposes.","Rep. Krishnamoorthi, Raja [D-IL-8]",4/21/20,,,,1,"House - Education and Labor, Homeland Security, Judiciary, Oversight and Reform",4/21/20,"Referred to the Committee on Education and Labor, and in addition to the Committees on Homeland Security, the Judiciary, and Oversight and Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6587,https://www.congress.gov/bill/116th-congress/house-bill/6587,116th Congress (2019-2020),,To prohibit the creation and use of fake social media accounts or profiles and the sending of fraudulent emails or other electronic messages.,"Rep. Kinzinger, Adam [R-IL-16]",4/21/20,,,,0,House - Judiciary,4/21/20,Referred to the House Committee on the Judiciary.
H.R. 6586,https://www.congress.gov/bill/116th-congress/house-bill/6586,116th Congress (2019-2020),,"To prohibit the creation and use of fake social media accounts or profiles and the sending of fraudulent emails or other electronic messages, and to require certain social media companies to remove fake or harmful accounts and profiles from their platforms.","Rep. Kinzinger, Adam [R-IL-16]",4/21/20,,,,0,House - Energy and Commerce,4/21/20,Referred to the House Committee on Energy and Commerce.
H.R. 6585,https://www.congress.gov/bill/116th-congress/house-bill/6585,116th Congress (2019-2020),,To require the Centers for Disease Control and Prevention to collect and report certain data concerning COVID-19.,"Rep. Kelly, Robin L. [D-IL-2]",4/21/20,,,,91,"House - Energy and Commerce, Natural Resources",4/21/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6584,https://www.congress.gov/bill/116th-congress/house-bill/6584,116th Congress (2019-2020),,"To amend title XIX of the Social Security Act to provide for a temporary increase in Medicaid DSH allotments during the COVID-19 emergency period, and for other purposes.","Rep. Kelly, Robin L. [D-IL-2]",4/21/20,,,,1,House - Energy and Commerce,4/21/20,Referred to the House Committee on Energy and Commerce.
H.R. 6583,https://www.congress.gov/bill/116th-congress/house-bill/6583,116th Congress (2019-2020),,"To amend title XVIII of the Social Security Act to establish a risk corridor program for Medicare Advantage plans during the COVID-19 emergency, and for other purposes.","Rep. Houlahan, Chrissy [D-PA-6]",4/21/20,,,,1,"House - Ways and Means, Energy and Commerce",4/21/20,"Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6582,https://www.congress.gov/bill/116th-congress/house-bill/6582,116th Congress (2019-2020),,To exclude from income and resources certain Federal pandemic unemployment compensation for the purpose of determining income under the supplemental nutrition assistance program.,"Rep. Hayes, Jahana [D-CT-5]",4/21/20,,,,13,House - Agriculture,4/21/20,Referred to the House Committee on Agriculture.
H.R. 6581,https://www.congress.gov/bill/116th-congress/house-bill/6581,116th Congress (2019-2020),,To ensure international financial institution support for a robust international response to the global COVID-19 pandemic.,"Rep. Garcia, Jesus G. ""Chuy"" [D-IL-4]",4/21/20,,,,15,House - Financial Services,4/21/20,Referred to the House Committee on Financial Services.
H.R. 6580,https://www.congress.gov/bill/116th-congress/house-bill/6580,116th Congress (2019-2020),,To appropriate funds for the SPR Petroleum Account.,"Rep. Fletcher, Lizzie [D-TX-7]",4/21/20,,,,15,"House - Appropriations, Budget",4/21/20,"Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6579,https://www.congress.gov/bill/116th-congress/house-bill/6579,116th Congress (2019-2020),,To amend the Internal Revenue Code of 1986 to allow certain taxpayers a 2-year carryback of net operating losses and to restore and make permanent the limitation on excess business losses of non-corporate taxpayers.,"Rep. Doggett, Lloyd [D-TX-35]",4/21/20,,,,38,House - Ways and Means,4/21/20,Referred to the House Committee on Ways and Means.
H.R. 6578,https://www.congress.gov/bill/116th-congress/house-bill/6578,116th Congress (2019-2020),,To amend the Public Health Service Act to establish the Public Health Workforce Loan Repayment Program.,"Rep. Crow, Jason [D-CO-6]",4/21/20,,,,3,House - Energy and Commerce,4/21/20,Referred to the House Committee on Energy and Commerce.
H.R. 6577,https://www.congress.gov/bill/116th-congress/house-bill/6577,116th Congress (2019-2020),,To direct the Secretary of Health and Human Services to award grants or contracts to public or private entities to carry out a national awareness campaign to increase factual awareness and knowledge of COVID-19.,"Rep. Cox, TJ [D-CA-21]",4/21/20,,,,1,House - Energy and Commerce,4/21/20,Referred to the House Committee on Energy and Commerce.
H.R. 6576,https://www.congress.gov/bill/116th-congress/house-bill/6576,116th Congress (2019-2020),,"To prohibit depository institutions from assessing overdraft and non-sufficient fund fees during the novel coronavirus crisis and other disasters, and for other purposes.","Rep. Cicilline, David N. [D-RI-1]",4/21/20,,,,1,House - Financial Services,4/21/20,Referred to the House Committee on Financial Services.
H.R. 6575,https://www.congress.gov/bill/116th-congress/house-bill/6575,116th Congress (2019-2020),,"To amend title 49, United States Code, to establish a national transit frontline workforce training center, and for other purposes.","Rep. Brown, Anthony G. [D-MD-4]",4/21/20,,,,9,House - Transportation and Infrastructure,4/22/20,Referred to the Subcommittee on Highways and Transit.
H.R. 6574,https://www.congress.gov/bill/116th-congress/house-bill/6574,116th Congress (2019-2020),,"To direct the Secretary of Defense to standardize, collect, and analyze information on the demographics of applicants to military service academies, and for other purposes.","Rep. Brown, Anthony G. [D-MD-4]",4/21/20,,,,8,House - Armed Services,4/21/20,Referred to the House Committee on Armed Services.
H.R. 6573,https://www.congress.gov/bill/116th-congress/house-bill/6573,116th Congress (2019-2020),,"To amend title 10, United States Code, to authorize the Secretary of Defense to temporarily waive cost-sharing amounts under the TRICARE pharmacy benefits program during certain declared emergencies.","Rep. Blunt Rochester, Lisa [D-DE-At Large]",4/21/20,,,,11,House - Armed Services,4/21/20,Referred to the House Committee on Armed Services.
H.R. 6572,https://www.congress.gov/bill/116th-congress/house-bill/6572,116th Congress (2019-2020),,"To direct the Secretary of Health and Human Services, acting through the Director of the Centers for Disease Control and Prevention, to carry out a national campaign to increase awareness and knowledge of COVID-19.","Rep. Bilirakis, Gus M. [R-FL-12]",4/21/20,,,,1,House - Energy and Commerce,4/21/20,Referred to the House Committee on Energy and Commerce.
H.R. 6571,https://www.congress.gov/bill/116th-congress/house-bill/6571,116th Congress (2019-2020),,"To require the Secretary of Veterans Affairs to formally recognize caregivers of veterans, notify veterans and caregivers of clinical determinations relating to eligibility for caregiver programs, and temporarily extend benefits for veterans who are determined ineligible for the family caregiver program, and for other purposes.","Rep. Biggs, Andy [R-AZ-5]",4/21/20,,,,11,House - Veterans' Affairs,4/21/20,Referred to the House Committee on Veterans' Affairs.
H.R. 6570,https://www.congress.gov/bill/116th-congress/house-bill/6570,116th Congress (2019-2020),,"To require software marketplace operators and developers of covered foreign software to provide to consumers a warning prior to the download of such software, and for other purposes.","Rep. Banks, Jim [R-IN-3]",4/21/20,,,,0,House - Energy and Commerce,4/21/20,Referred to the House Committee on Energy and Commerce.
H.R. 6569,https://www.congress.gov/bill/116th-congress/house-bill/6569,116th Congress (2019-2020),,"To provide that certain public hospitals are eligible for loans under the Paycheck Protection Program, and for other purposes.","Rep. Smith, Adrian [R-NE-3]",4/21/20,,,,11,House - Small Business,4/21/20,Referred to the House Committee on Small Business.
H.R. 6568,https://www.congress.gov/bill/116th-congress/house-bill/6568,116th Congress (2019-2020),,"To require group health plans and health insurance issuers offering group or individual health insurance coverage to provide coverage without imposing any cost sharing requirements for certain items and services furnished during any portion of the COVID-19 emergency period, and for other purposes.","Rep. Blunt Rochester, Lisa [D-DE-At Large]",4/21/20,,,,2,"House - Energy and Commerce, Ways and Means, Education and Labor",4/21/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6567,https://www.congress.gov/bill/116th-congress/house-bill/6567,116th Congress (2019-2020),,To provide an exclusion from gross income for certain workers.,"Rep. Thompson, Glenn [R-PA-15]",4/21/20,,,,1,House - Ways and Means,4/21/20,Referred to the House Committee on Ways and Means.
H.R. 6566,https://www.congress.gov/bill/116th-congress/house-bill/6566,116th Congress (2019-2020),,Airline Travelers Equity Act of 2020,"Rep. Smith, Christopher H. [R-NJ-4]",4/21/20,,,,1,House - Financial Services,4/21/20,Referred to the House Committee on Financial Services.
H.R. 6565,https://www.congress.gov/bill/116th-congress/house-bill/6565,116th Congress (2019-2020),,Emergency Ensuring Access to SNAP (EATS) Act of 2020,"Rep. Gomez, Jimmy [D-CA-34]",4/21/20,,,,24,House - Agriculture,4/21/20,Referred to the House Committee on Agriculture.
H.R. 6564,https://www.congress.gov/bill/116th-congress/house-bill/6564,116th Congress (2019-2020),,Fresh Produce for Kids in Need Act,"Rep. Harder, Josh [D-CA-10]",4/21/20,,,,1,House - Education and Labor,4/21/20,Referred to the House Committee on Education and Labor.
H.R. 6563,https://www.congress.gov/bill/116th-congress/house-bill/6563,116th Congress (2019-2020),,"To provide for E-Rate support for Wi-Fi hotspots, modems, routers, and connected devices during emergency periods relating to COVID-19, and for other purposes.","Rep. Meng, Grace [D-NY-6]",4/21/20,,,,20,House - Energy and Commerce,4/21/20,Referred to the House Committee on Energy and Commerce.
H.R. 6562,https://www.congress.gov/bill/116th-congress/house-bill/6562,116th Congress (2019-2020),,SAVERS Act,"Rep. McHenry, Patrick T. [R-NC-10]",4/21/20,,,,5,House - Ways and Means,4/21/20,Referred to the House Committee on Ways and Means.
H.R. 6561,https://www.congress.gov/bill/116th-congress/house-bill/6561,116th Congress (2019-2020),,"To authorize the Director of the Centers for Disease Control and Prevention to carry out a Social Determinants of Health Program, and for other purposes.","Rep. Barragan, Nanette Diaz [D-CA-44]",4/21/20,,,,18,House - Energy and Commerce,4/21/20,Referred to the House Committee on Energy and Commerce.
H.R. 6560,https://www.congress.gov/bill/116th-congress/house-bill/6560,116th Congress (2019-2020),,"To mobilize individuals in the United States in the fight against coronavirus by expanding volunteer opportunities in AmeriCorps, expanding employment opportunities at the Federal Emergency Management Agency, and utilizing the expertise of Peace Corps volunteer leaders whose service ended on March 15, 2020, and for other purposes.","Rep. Garamendi, John [D-CA-3]",4/21/20,,,,14,"House - Education and Labor, Transportation and Infrastructure, Foreign Affairs",4/22/20,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management."
H.R. 6559,https://www.congress.gov/bill/116th-congress/house-bill/6559,116th Congress (2019-2020),,"To require the Occupational Safety and Health Administration to promulgate an emergency temporary standard to protect employees from occupational exposure to SARS-CoV-2, and for other purposes.","Rep. Scott, Robert C. ""Bobby"" [D-VA-3]",4/21/20,,,,29,"House - Education and Labor, Energy and Commerce",4/21/20,"Referred to the Committee on Education and Labor, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6558,https://www.congress.gov/bill/116th-congress/house-bill/6558,116th Congress (2019-2020),,"To amend the Immigration and Nationality Act by extending the period of time for which a conditional permit to land temporarily may be granted to an alien seafarer engaged in ship-to-ship cargo transfer operations, and for other purposes.","Rep. Weber, Randy K., Sr. [R-TX-14]",4/17/20,,,,4,House - Judiciary,4/17/20,Referred to the House Committee on the Judiciary.
H.R. 6557,https://www.congress.gov/bill/116th-congress/house-bill/6557,116th Congress (2019-2020),,"To amend title XIX of the Social Security Act to increase the Federal medical assistance percentage under the Medicaid program for States providing certain coverage relating to covered outpatient drugs, and for other purposes.","Rep. Eshoo, Anna G. [D-CA-18]",4/17/20,,,,1,House - Energy and Commerce,4/17/20,Referred to the House Committee on Energy and Commerce.
H.R. 6556,https://www.congress.gov/bill/116th-congress/house-bill/6556,116th Congress (2019-2020),,Gabriella Miller Kids First Research Act 2.0,"Rep. Wexton, Jennifer [D-VA-10]",4/17/20,,,,3,"House - Energy and Commerce, Financial Services",4/17/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6555,https://www.congress.gov/bill/116th-congress/house-bill/6555,116th Congress (2019-2020),,United States Semiquincentennial Quarter Series Act,"Rep. Watson Coleman, Bonnie [D-NJ-12]",4/17/20,,,,0,House - Financial Services,4/17/20,Referred to the House Committee on Financial Services.
H.R. 6554,https://www.congress.gov/bill/116th-congress/house-bill/6554,116th Congress (2019-2020),,"To increase the exempt amount applicable for the retirement earnings test for months in 2020, and for other purposes.","Rep. Walorski, Jackie [R-IN-2]",4/17/20,,,,0,House - Ways and Means,4/17/20,Referred to the House Committee on Ways and Means.
