Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 6627,https://www.congress.gov/bill/116th-congress/house-bill/6627,116th Congress (2019-2020),,"To require the United States Trade Representative to submit a report on plans to facilitate the full implementation of agreements of the World Trade Organization, and for other purposes.","Rep. Yoho, Ted S. [R-FL-3]",4/24/20,,,,7,House - Ways and Means,4/24/20,Referred to the House Committee on Ways and Means.
H.R. 6626,https://www.congress.gov/bill/116th-congress/house-bill/6626,116th Congress (2019-2020),,"To support and expand civic engagement and political leadership of adolescent girls around the world, and other purposes.","Rep. Trone, David J. [D-MD-6]",4/24/20,,,,1,House - Foreign Affairs,4/24/20,Referred to the House Committee on Foreign Affairs.
H.R. 6625,https://www.congress.gov/bill/116th-congress/house-bill/6625,116th Congress (2019-2020),,"To establish requirements for cruise lines to receive Federal funds and Federal assistance, and for other purposes.","Rep. Speier, Jackie [D-CA-14]",4/24/20,,,,4,"House - Transportation and Infrastructure, Ways and Means",4/24/20,"Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 6624,https://www.congress.gov/bill/116th-congress/house-bill/6624,116th Congress (2019-2020),,"To support supply chain innovation and multilateral security, and for other purposes.","Rep. Pallone, Frank, Jr. [D-NJ-6]",4/24/20,,,,3,House - Energy and Commerce,4/24/20,Referred to the House Committee on Energy and Commerce.
H.R. 6623,https://www.congress.gov/bill/116th-congress/house-bill/6623,116th Congress (2019-2020),,"To require all Federal agencies to translate COVID-19 materials into multiple languages, and for other purposes.","Rep. Meng, Grace [D-NY-6]",4/24/20,,,,34,House - Oversight and Reform,4/24/20,Referred to the House Committee on Oversight and Reform.
H.R. 6622,https://www.congress.gov/bill/116th-congress/house-bill/6622,116th Congress (2019-2020),,"To amend the Safe Drinking Water Act to establish a grant program for improving operational sustainability by small public water systems, and for other purposes.","Rep. McKinley, David B. [R-WV-1]",4/24/20,,,,1,House - Energy and Commerce,4/24/20,Referred to the House Committee on Energy and Commerce.
H.R. 6621,https://www.congress.gov/bill/116th-congress/house-bill/6621,116th Congress (2019-2020),,"To amend the United States International Broadcasting Act of 1994 to authorize the Open Technology Fund of the United States Agency for Global Media, and for other purposes.","Rep. McCaul, Michael T. [R-TX-10]",4/24/20,,,,3,House - Foreign Affairs,4/24/20,Referred to the House Committee on Foreign Affairs.
H.R. 6620,https://www.congress.gov/bill/116th-congress/house-bill/6620,116th Congress (2019-2020),,To authorize grants to address substance use during COVID-19.,"Rep. Kuster, Ann M. [D-NH-2]",4/24/20,,,,1,House - Energy and Commerce,4/24/20,Referred to the House Committee on Energy and Commerce.
H.R. 6619,https://www.congress.gov/bill/116th-congress/house-bill/6619,116th Congress (2019-2020),,"To amend the Internal Revenue Code of 1986 to provide advance tax refunds to small businesses, and for other purposes.","Rep. Dean, Madeleine [D-PA-4]",4/24/20,,,,1,House - Ways and Means,4/24/20,Referred to the House Committee on Ways and Means.
H.R. 6618,https://www.congress.gov/bill/116th-congress/house-bill/6618,116th Congress (2019-2020),,"To direct the Secretary of Health and Human Services to establish a database to facilitate the provision of health care services by a volunteer at a Federal or State agency during the COVID-19 public health emergency, and for other purposes.","Rep. Crow, Jason [D-CO-6]",4/24/20,,,,1,House - Energy and Commerce,4/24/20,Referred to the House Committee on Energy and Commerce.
H.R. 6617,https://www.congress.gov/bill/116th-congress/house-bill/6617,116th Congress (2019-2020),,"To support surface and groundwater storage and supporting projects in Reclamation States, and for other purposes.","Rep. Cox, TJ [D-CA-21]",4/24/20,,,,3,House - Natural Resources,4/24/20,Referred to the House Committee on Natural Resources.
