Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 7401,https://www.congress.gov/bill/115th-congress/house-bill/7401,115th Congress (2017-2018),,Strengthening Refugee Resettlement Act,"Rep. Ellison, Keith [D-MN-5]",1/2/19,,,,0,"House - Judiciary, Foreign Affairs, Ways and Means",1/2/19,Referred to the Subcommittee on Trade.
H.R. 7400,https://www.congress.gov/bill/115th-congress/house-bill/7400,115th Congress (2017-2018),,Making continuing appropriations for the Coast Guard.,"Rep. Wild, Susan [D-PA-15]",1/2/19,,,,0,House - Appropriations,1/2/19,Referred to the House Committee on Appropriations.
H.R. 7399,https://www.congress.gov/bill/115th-congress/house-bill/7399,115th Congress (2017-2018),,Inaugural Fund Integrity Act,"Rep. Scanlon, Mary Gay [D-PA-7]",12/27/18,,,,0,"House - House Administration, Oversight and Government Reform",12/27/18,"Referred to the Committee on House Administration, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7398,https://www.congress.gov/bill/115th-congress/house-bill/7398,115th Congress (2017-2018),,SPA Act,"Rep. Foster, Bill [D-IL-11]",12/22/18,,,,0,House - House Administration,12/22/18,Referred to the House Committee on House Administration.
H.R. 7397,https://www.congress.gov/bill/115th-congress/house-bill/7397,115th Congress (2017-2018),,"To provide further additional continuing appropriations for fiscal year 2019, and for other purposes.","Rep. Hoyer, Steny H. [D-MD-5]",12/22/18,,,,0,"House - Appropriations, Budget",12/22/18,"Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7396,https://www.congress.gov/bill/115th-congress/house-bill/7396,115th Congress (2017-2018),,Border Security and Child Safety Act,"Rep. Torres, Norma J. [D-CA-35]",12/21/18,,,,2,"House - Judiciary, Homeland Security",12/21/18,"Referred to the Committee on the Judiciary, and in addition to the Committee on Homeland Security, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7395,https://www.congress.gov/bill/115th-congress/house-bill/7395,115th Congress (2017-2018),,"To direct the Secretary of Health and Human Services to allow delivery of medical supplies by unmanned aerial systems, and for other purposes.","Rep. Meadows, Mark [R-NC-11]",12/21/18,,,,0,"House - Transportation and Infrastructure, Energy and Commerce, Ways and Means, Natural Resources",12/24/18,Referred to the Subcommittee on Aviation.
H.R. 7394,https://www.congress.gov/bill/115th-congress/house-bill/7394,115th Congress (2017-2018),,"To prohibit the Federal financial regulators from requiring compliance with the accounting standards update of the Financial Accounting Standards Board related to current expected credit loss (""CECL""), to require the Securities and Exchange Commission to take certain impacts of a proposed accounting principle into consideration before accepting the principle, and for other purposes.","Rep. Luetkemeyer, Blaine [R-MO-3]",12/21/18,,,,1,"House - Financial Services, Agriculture",12/21/18,"Referred to the Committee on Financial Services, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7393,https://www.congress.gov/bill/115th-congress/house-bill/7393,115th Congress (2017-2018),,Medicaid Quality Care Act,"Rep. Faso, John J. [R-NY-19]",12/21/18,,,,0,House - Energy and Commerce,12/21/18,Referred to the House Committee on Energy and Commerce.
H.R. 7392,https://www.congress.gov/bill/115th-congress/house-bill/7392,115th Congress (2017-2018),,TRACED Act,"Rep. Babin, Brian [R-TX-36]",12/21/18,,,,0,House - Energy and Commerce,12/21/18,Referred to the House Committee on Energy and Commerce.
H.R. 7391,https://www.congress.gov/bill/115th-congress/house-bill/7391,115th Congress (2017-2018),,Rural Hospital Freedom and Flexibility Act of 2018,"Rep. Arrington, Jodey C. [R-TX-19]",12/21/18,,,,0,"House - Ways and Means, Energy and Commerce",12/21/18,"Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7390,https://www.congress.gov/bill/115th-congress/house-bill/7390,115th Congress (2017-2018),,Violence Against Women Extension Act of 2018,"Rep. Jackson Lee, Sheila [D-TX-18]",12/21/18,,,,2,"House - Judiciary, Energy and Commerce, Education and the Workforce, Financial Services, Natural Resources, Foreign Affairs",12/21/18,"Referred to the Committee on the Judiciary, and in addition to the Committees on Energy and Commerce, Education and the Workforce, Financial Services, Natural Resources, and Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7389,https://www.congress.gov/bill/115th-congress/house-bill/7389,115th Congress (2017-2018),,Federal Permitting Reform and Jobs Act,"Rep. Marino, Tom [R-PA-10]",12/21/18,,,,0,House - Natural Resources,12/21/18,Referred to the House Committee on Natural Resources.
H.R. 7388,https://www.congress.gov/bill/115th-congress/house-bill/7388,115th Congress (2017-2018),,National Flood Insurance Program Competition and Extension Act of 2018,"Rep. MacArthur, Thomas [R-NJ-3]",12/21/18,,,,0,House - Financial Services,12/21/18,On motion to suspend the rules and pass the bill Failed by the Yeas and Nays: (2/3 required): 148 - 226 (Roll no. 497).
H.R. 7387,https://www.congress.gov/bill/115th-congress/house-bill/7387,115th Congress (2017-2018),,Crooked River Ranch Fire Protection Act,"Rep. Walden, Greg [R-OR-2]",12/20/18,,,,0,House - Natural Resources,12/20/18,Referred to the House Committee on Natural Resources.
H.R. 7386,https://www.congress.gov/bill/115th-congress/house-bill/7386,115th Congress (2017-2018),,Faster Access to Federal Student Aid Act of 2018,"Rep. Walberg, Tim [R-MI-7]",12/20/18,,,,1,"House - Ways and Means, Education and the Workforce",12/20/18,"Referred to the Committee on Ways and Means, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7385,https://www.congress.gov/bill/115th-congress/house-bill/7385,115th Congress (2017-2018),,Disaster Housing Assistance Program Accountability Act,"Rep. Titus, Dina [D-NV-1]",12/20/18,,,,1,House - Transportation and Infrastructure,12/21/18,"Referred to the Subcommittee on Economic Development, Public Buildings and Emergency Management."
H.R. 7384,https://www.congress.gov/bill/115th-congress/house-bill/7384,115th Congress (2017-2018),,UIGHUR Act of 2018,"Rep. Sherman, Brad [D-CA-30]",12/20/18,,,,4,"House - Foreign Affairs, Oversight and Government Reform, Judiciary",12/20/18,"Referred to the Committee on Foreign Affairs, and in addition to the Committees on Oversight and Government Reform, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7383,https://www.congress.gov/bill/115th-congress/house-bill/7383,115th Congress (2017-2018),,"Too Big To Fail, Too Big To Exist Act","Rep. Sherman, Brad [D-CA-30]",12/20/18,,,,0,House - Financial Services,12/20/18,Referred to the House Committee on Financial Services.
H.R. 7382,https://www.congress.gov/bill/115th-congress/house-bill/7382,115th Congress (2017-2018),,Fannie Mae and Freddie Mac Lobbying Regulation Act of 2018,"Rep. Royce, Edward R. [R-CA-39]",12/20/18,,,,1,House - Financial Services,12/20/18,Referred to the House Committee on Financial Services.
H.R. 7381,https://www.congress.gov/bill/115th-congress/house-bill/7381,115th Congress (2017-2018),,Protect our Girls Act of 2018,"Rep. Perry, Scott [R-PA-4]",12/20/18,,,,0,House - Judiciary,12/20/18,Referred to the House Committee on the Judiciary.
H.R. 7380,https://www.congress.gov/bill/115th-congress/house-bill/7380,115th Congress (2017-2018),,Post-Disaster Assistance Online Accountability Act,"Rep. Meadows, Mark [R-NC-11]",12/20/18,,,,0,"House - Transportation and Infrastructure, Small Business, Financial Services",12/21/18,"Referred to the Subcommittee on Economic Development, Public Buildings and Emergency Management."
H.R. 7379,https://www.congress.gov/bill/115th-congress/house-bill/7379,115th Congress (2017-2018),,American Agriculture First Act,"Rep. Meadows, Mark [R-NC-11]",12/20/18,,,,0,House - Agriculture,12/20/18,Referred to the House Committee on Agriculture.
H.R. 7378,https://www.congress.gov/bill/115th-congress/house-bill/7378,115th Congress (2017-2018),,Guidance Clarity Act of 2018,"Rep. Luetkemeyer, Blaine [R-MO-3]",12/20/18,,,,6,House - Oversight and Government Reform,12/20/18,Referred to the House Committee on Oversight and Government Reform.
H.R. 7377,https://www.congress.gov/bill/115th-congress/house-bill/7377,115th Congress (2017-2018),,Children of Fallen Servicemembers AMT Relief Act,"Rep. Larsen, Rick [D-WA-2]",12/20/18,,,,0,House - Ways and Means,12/20/18,Referred to the House Committee on Ways and Means.
H.R. 7376,https://www.congress.gov/bill/115th-congress/house-bill/7376,115th Congress (2017-2018),,The Earning Experience Act of 2018,"Rep. Kilmer, Derek [D-WA-6]",12/20/18,,,,1,House - Education and the Workforce,12/20/18,Referred to the House Committee on Education and the Workforce.
H.R. 7375,https://www.congress.gov/bill/115th-congress/house-bill/7375,115th Congress (2017-2018),,SHELTER Act of 2018,"Rep. Jones, Brenda [D-MI-13]",12/20/18,,,,1,"House - Ways and Means, Natural Resources, Financial Services, Budget",12/20/18,"Referred to the Committee on Ways and Means, and in addition to the Committees on Natural Resources, Financial Services, and the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7374,https://www.congress.gov/bill/115th-congress/house-bill/7374,115th Congress (2017-2018),,Minimum Wage Fairness Act of 2018,"Rep. Jones, Brenda [D-MI-13]",12/20/18,,,,1,"House - Education and the Workforce, Oversight and Government Reform, Financial Services",12/20/18,"Referred to the Committee on Education and the Workforce, and in addition to the Committees on Oversight and Government Reform, and Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7373,https://www.congress.gov/bill/115th-congress/house-bill/7373,115th Congress (2017-2018),,To amend the Internal Revenue Code of 1986 to provide an exemption from FIRPTA for interests held by certain foreign insurance companies.,"Rep. Holding, George [R-NC-2]",12/20/18,,,,0,House - Ways and Means,12/20/18,Referred to the House Committee on Ways and Means.
H.R. 7372,https://www.congress.gov/bill/115th-congress/house-bill/7372,115th Congress (2017-2018),,Protect SNAP Act,"Rep. DeLauro, Rosa L. [D-CT-3]",12/20/18,,,,5,House - Agriculture,12/20/18,Referred to the House Committee on Agriculture.
H.R. 7371,https://www.congress.gov/bill/115th-congress/house-bill/7371,115th Congress (2017-2018),,"To provide that the Social Security Administration pay fees associated with obtaining a birth certificate or State identification card for purposes of obtaining a replacement social security card for certain victims of domestic violence, and for other purposes.","Rep. Crist, Charlie [D-FL-13]",12/20/18,,,,0,House - Ways and Means,12/20/18,Referred to the House Committee on Ways and Means.
H.R. 7370,https://www.congress.gov/bill/115th-congress/house-bill/7370,115th Congress (2017-2018),,Spam Calls Task Force Act of 2018,"Rep. Crist, Charlie [D-FL-13]",12/20/18,,,,1,House - Energy and Commerce,12/20/18,Referred to the House Committee on Energy and Commerce.
H.R. 7369,https://www.congress.gov/bill/115th-congress/house-bill/7369,115th Congress (2017-2018),,DEA Notification Act of 2018,"Rep. Bilirakis, Gus M. [R-FL-12]",12/20/18,,,,1,"House - Energy and Commerce, Ways and Means, Judiciary",12/20/18,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7368,https://www.congress.gov/bill/115th-congress/house-bill/7368,115th Congress (2017-2018),,Federal Employee Retroactive Pay Fairness Act,"Rep. Beyer, Donald S., Jr. [D-VA-8]",12/20/18,,,,77,House - Oversight and Government Reform,12/20/18,Referred to the House Committee on Oversight and Government Reform.
H.R. 7367,https://www.congress.gov/bill/115th-congress/house-bill/7367,115th Congress (2017-2018),,"To designate a peak in the State of Washington as ""Mount Cleator"".","Rep. Beyer, Donald S., Jr. [D-VA-8]",12/20/18,,,,1,House - Natural Resources,12/20/18,Referred to the House Committee on Natural Resources.
H.R. 7366,https://www.congress.gov/bill/115th-congress/house-bill/7366,115th Congress (2017-2018),,RAMP Act,"Rep. Issa, Darrell E. [R-CA-49]",12/20/18,,,,0,House - Judiciary,12/20/18,Referred to the House Committee on the Judiciary.
H.R. 7365,https://www.congress.gov/bill/115th-congress/house-bill/7365,115th Congress (2017-2018),,"To require the Federal Communications Commission to approve or deny a license transfer application within 180 days of submission, and for other purposes.","Rep. Flores, Bill [R-TX-17]",12/20/18,,,,2,House - Energy and Commerce,12/20/18,Referred to the House Committee on Energy and Commerce.
H.R. 7364,https://www.congress.gov/bill/115th-congress/house-bill/7364,115th Congress (2017-2018),,Financial Protection for Our Military Families Act,"Rep. Barr, Andy [R-KY-6]",12/20/18,,,,0,"House - Financial Services, Armed Services",12/20/18,"Referred to the Committee on Financial Services, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7363,https://www.congress.gov/bill/115th-congress/house-bill/7363,115th Congress (2017-2018),,Biased Algorithm Deterrence Act of 2018,"Rep. Gohmert, Louie [R-TX-1]",12/20/18,,,,0,House - Energy and Commerce,12/20/18,Referred to the House Committee on Energy and Commerce.
H.R. 7362,https://www.congress.gov/bill/115th-congress/house-bill/7362,115th Congress (2017-2018),,Pay our Doctors Act of 2018,"Rep. Mullin, Markwayne [R-OK-2]",12/20/18,,,,2,House - Appropriations,12/20/18,Referred to the House Committee on Appropriations.
H.R. 7361,https://www.congress.gov/bill/115th-congress/house-bill/7361,115th Congress (2017-2018),,To amend the Internal Revenue Code of 1986 to allow exclusion of gain or loss on like-kind exchanges of virtual currency.,"Rep. Budd, Ted [R-NC-13]",12/20/18,,,,0,House - Ways and Means,12/20/18,Referred to the House Committee on Ways and Means.
H.R. 7360,https://www.congress.gov/bill/115th-congress/house-bill/7360,115th Congress (2017-2018),,Shut Down Child Prison Camps Act,"Rep. Chu, Judy [D-CA-27]",12/20/18,,,,1,House - Judiciary,12/20/18,Referred to the House Committee on the Judiciary.
H.R. 7359,https://www.congress.gov/bill/115th-congress/house-bill/7359,115th Congress (2017-2018),,Voter Information and Access Act of 2018,"Rep. Moore, Gwen [D-WI-4]",12/20/18,,,,3,House - Judiciary,12/20/18,Referred to the House Committee on the Judiciary.
H.R. 7358,https://www.congress.gov/bill/115th-congress/house-bill/7358,115th Congress (2017-2018),,Tax Fairness for Americans Abroad Act of 2018,"Rep. Holding, George [R-NC-2]",12/20/18,,,,0,House - Ways and Means,12/20/18,Referred to the House Committee on Ways and Means.
H.R. 7357,https://www.congress.gov/bill/115th-congress/house-bill/7357,115th Congress (2017-2018),,Automated Mobility Act of 2018,"Rep. Lipinski, Daniel [D-IL-3]",12/20/18,,,,0,"House - Transportation and Infrastructure, Energy and Commerce, Education and the Workforce, Financial Services, Science, Space, and Technology",12/21/18,Referred to the Subcommittee on Highways and Transit.
H.R. 7356,https://www.congress.gov/bill/115th-congress/house-bill/7356,115th Congress (2017-2018),,Token Taxonomy Act,"Rep. Davidson, Warren [R-OH-8]",12/20/18,,,,1,"House - Financial Services, Ways and Means",12/20/18,"Referred to the Committee on Financial Services, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7355,https://www.congress.gov/bill/115th-congress/house-bill/7355,115th Congress (2017-2018),,PRRADA,"Rep. Velazquez, Nydia M. [D-NY-7]",12/19/18,,,,4,House - Judiciary,12/19/18,Referred to the House Committee on the Judiciary.
H.R. 7354,https://www.congress.gov/bill/115th-congress/house-bill/7354,115th Congress (2017-2018),,Small Business Lending Fairness Act,"Rep. Velazquez, Nydia M. [D-NY-7]",12/19/18,,,,3,House - Financial Services,12/19/18,Referred to the House Committee on Financial Services.
H.R. 7353,https://www.congress.gov/bill/115th-congress/house-bill/7353,115th Congress (2017-2018),,Training Highly Skilled Americans Act of 2018,"Rep. Titus, Dina [D-NV-1]",12/19/18,,,,0,"House - Education and the Workforce, Judiciary, Science, Space, and Technology",12/19/18,"Referred to the Committee on Education and the Workforce, and in addition to the Committees on the Judiciary, and Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7352,https://www.congress.gov/bill/115th-congress/house-bill/7352,115th Congress (2017-2018),,Performance-Based Building Act of 2018,"Rep. Shuster, Bill [R-PA-9]",12/19/18,,,,0,"House - Transportation and Infrastructure, Veterans' Affairs",12/20/18,"Referred to the Subcommittee on Economic Development, Public Buildings and Emergency Management."
H.R. 7351,https://www.congress.gov/bill/115th-congress/house-bill/7351,115th Congress (2017-2018),,Nuclear Cooperation Agreements Reform Act of 2018,"Rep. Sherman, Brad [D-CA-30]",12/19/18,,,,1,"House - Foreign Affairs, Rules",12/19/18,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7350,https://www.congress.gov/bill/115th-congress/house-bill/7350,115th Congress (2017-2018),,No Nuclear Weapons for Saudi Arabia Act of 2018,"Rep. Sherman, Brad [D-CA-30]",12/19/18,,,,12,House - Foreign Affairs,12/19/18,Referred to the House Committee on Foreign Affairs.
H.R. 7349,https://www.congress.gov/bill/115th-congress/house-bill/7349,115th Congress (2017-2018),,Savings Account for Every American Act of 2018,"Rep. Sessions, Pete [R-TX-32]",12/19/18,,,,0,"House - Ways and Means, Oversight and Government Reform",12/19/18,"Referred to the Committee on Ways and Means, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7348,https://www.congress.gov/bill/115th-congress/house-bill/7348,115th Congress (2017-2018),,Affordable Drug Manufacturing Act of 2018,"Rep. Schakowsky, Janice D. [D-IL-9]",12/19/18,,,,0,House - Energy and Commerce,12/19/18,Referred to the House Committee on Energy and Commerce.
H.R. 7347,https://www.congress.gov/bill/115th-congress/house-bill/7347,115th Congress (2017-2018),,USE IT Act,"Rep. Peters, Scott H. [D-CA-52]",12/19/18,,,,3,"House - Energy and Commerce, Science, Space, and Technology, Natural Resources, Transportation and Infrastructure, Ways and Means",12/20/18,Referred to the Subcommittee on Highways and Transit.
H.R. 7346,https://www.congress.gov/bill/115th-congress/house-bill/7346,115th Congress (2017-2018),,Low-Wage Federal Contractor Employee Back Pay Act of 2018,"Rep. Norton, Eleanor Holmes [D-DC-At Large]",12/19/18,,,,0,House - Oversight and Government Reform,12/19/18,Referred to the House Committee on Oversight and Government Reform.
H.R. 7345,https://www.congress.gov/bill/115th-congress/house-bill/7345,115th Congress (2017-2018),,National Commission to Combat Workplace Sexual Harassment Act,"Rep. Norton, Eleanor Holmes [D-DC-At Large]",12/19/18,,,,0,House - Education and the Workforce,12/20/18,Sponsor introductory remarks on measure.
H.R. 7344,https://www.congress.gov/bill/115th-congress/house-bill/7344,115th Congress (2017-2018),,To reauthorize tuition assistance programs under the District of Columbia College Access Act of 1999.,"Rep. Meadows, Mark [R-NC-11]",12/19/18,,,,0,House - Oversight and Government Reform,12/19/18,Referred to the House Committee on Oversight and Government Reform.
H.R. 7343,https://www.congress.gov/bill/115th-congress/house-bill/7343,115th Congress (2017-2018),,"To require the Federal Communications Commission and the Federal Trade Commission to jointly establish a robocaller bounty pilot program, and for other purposes.","Rep. Graves, Garret [R-LA-6]",12/19/18,,,,1,House - Energy and Commerce,12/19/18,Referred to the House Committee on Energy and Commerce.
H.R. 7342,https://www.congress.gov/bill/115th-congress/house-bill/7342,115th Congress (2017-2018),,Stop Subsidizing Childhood Obesity Act,"Rep. DeLauro, Rosa L. [D-CT-3]",12/19/18,,,,0,"House - Ways and Means, Education and the Workforce",12/19/18,"Referred to the Committee on Ways and Means, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7341,https://www.congress.gov/bill/115th-congress/house-bill/7341,115th Congress (2017-2018),,SWEET Act,"Rep. DeLauro, Rosa L. [D-CT-3]",12/19/18,,,,0,"House - Ways and Means, Energy and Commerce",12/19/18,"Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7340,https://www.congress.gov/bill/115th-congress/house-bill/7340,115th Congress (2017-2018),,Medicare Advantage Bill of Rights Act of 2018,"Rep. DeLauro, Rosa L. [D-CT-3]",12/19/18,,,,0,"House - Ways and Means, Energy and Commerce",1/2/19,Referred to the Subcommittee on Health.
H.R. 7339,https://www.congress.gov/bill/115th-congress/house-bill/7339,115th Congress (2017-2018),,Medicare for America Act of 2018,"Rep. DeLauro, Rosa L. [D-CT-3]",12/19/18,,,,1,"House - Ways and Means, Energy and Commerce, Education and the Workforce, Natural Resources, Judiciary",12/19/18,"Referred to the Committee on Ways and Means, and in addition to the Committees on Energy and Commerce, Education and the Workforce, Natural Resources, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7338,https://www.congress.gov/bill/115th-congress/house-bill/7338,115th Congress (2017-2018),,Safe Food Act of 2018,"Rep. DeLauro, Rosa L. [D-CT-3]",12/19/18,,,,0,"House - Energy and Commerce, Agriculture",12/19/18,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7337,https://www.congress.gov/bill/115th-congress/house-bill/7337,115th Congress (2017-2018),,Stop Tobacco Sales to Youth Act of 2018,"Rep. DeLauro, Rosa L. [D-CT-3]",12/19/18,,,,4,House - Judiciary,12/19/18,Referred to the House Committee on the Judiciary.
H.R. 7336,https://www.congress.gov/bill/115th-congress/house-bill/7336,115th Congress (2017-2018),,Pathogen Reduction and Testing Reform Act of 2018,"Rep. DeLauro, Rosa L. [D-CT-3]",12/19/18,,,,0,House - Agriculture,12/19/18,Referred to the House Committee on Agriculture.
H.R. 7335,https://www.congress.gov/bill/115th-congress/house-bill/7335,115th Congress (2017-2018),,Fairness and Opportunities for Married Households With Student Loans Act,"Rep. Davis, Danny K. [D-IL-7]",12/19/18,,,,0,House - Ways and Means,12/19/18,Referred to the House Committee on Ways and Means.
H.R. 7334,https://www.congress.gov/bill/115th-congress/house-bill/7334,115th Congress (2017-2018),,Sunset Inefficient and Unaccountable Government Act,"Rep. Byrne, Bradley [R-AL-1]",12/19/18,,,,0,House - Oversight and Government Reform,12/19/18,Referred to the House Committee on Oversight and Government Reform.
H.R. 7333,https://www.congress.gov/bill/115th-congress/house-bill/7333,115th Congress (2017-2018),,FEMA Modernization Act of 2018,"Rep. Jackson Lee, Sheila [D-TX-18]",12/19/18,,,,3,"House - Transportation and Infrastructure, Small Business, Energy and Commerce, Education and the Workforce, Judiciary, Financial Services, Homeland Security",12/20/18,"Referred to the Subcommittee on Economic Development, Public Buildings and Emergency Management."
H.R. 7332,https://www.congress.gov/bill/115th-congress/house-bill/7332,115th Congress (2017-2018),,Protect American Taxpayers and Secure Border Act,"Rep. Jackson Lee, Sheila [D-TX-18]",12/19/18,,,,4,"House - Judiciary, Homeland Security",12/19/18,"Referred to the Committee on the Judiciary, and in addition to the Committee on Homeland Security, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7331,https://www.congress.gov/bill/115th-congress/house-bill/7331,115th Congress (2017-2018),,"To designate the facility of the United States Postal Service located at 11158 Highway 146 North in Hardin, Texas, as the ""Lucas Lowe Post Office"".","Rep. Babin, Brian [R-TX-36]",12/19/18,,,,29,House - Oversight and Government Reform,12/19/18,Referred to the House Committee on Oversight and Government Reform.
H.R. 7330,https://www.congress.gov/bill/115th-congress/house-bill/7330,115th Congress (2017-2018),,Agriculture Research Integrity Act of 2018,"Rep. Pingree, Chellie [D-ME-1]",12/19/18,,,,9,House - Agriculture,12/19/18,Referred to the House Committee on Agriculture.
H.R. 7329,https://www.congress.gov/bill/115th-congress/house-bill/7329,115th Congress (2017-2018),,"To make technical corrections to provisions of law enacted by the Frank LoBiondo Coast Guard Authorization Act of 2018, and for other purposes.","Rep. Shuster, Bill [R-PA-9]",12/19/18,,,,0,House - Transportation and Infrastructure,12/21/18,Received in the Senate.
H.R. 7328,https://www.congress.gov/bill/115th-congress/house-bill/7328,115th Congress (2017-2018),,Pandemic and All-Hazards Preparedness and Advancing Innovation Act of 2018,"Rep. Brooks, Susan W. [R-IN-5]",12/19/18,,,,5,"House - Energy and Commerce, Veterans' Affairs, Judiciary, Homeland Security",12/20/18,Received in the Senate.
H.R. 7327,https://www.congress.gov/bill/115th-congress/house-bill/7327,115th Congress (2017-2018),,Strengthening and Enhancing Cyber-capabilities by Utilizing Risk Exposure Technology Act,"Rep. Hurd, Will [R-TX-23]",12/19/18,,,,5,"House - Oversight and Government Reform, Homeland Security",12/21/18,Became Public Law No: 115-390.
H.R. 7326,https://www.congress.gov/bill/115th-congress/house-bill/7326,115th Congress (2017-2018),,Effective Prosecution of Possession of Biological Toxins and Agents Act of 2018,"Rep. Ratcliffe, John [R-TX-4]",12/17/18,,,,1,House - Judiciary,12/17/18,Referred to the House Committee on the Judiciary.
H.R. 7325,https://www.congress.gov/bill/115th-congress/house-bill/7325,115th Congress (2017-2018),,Border Bonds for America Act of 2018,"Rep. Palazzo, Steven M. [R-MS-4]",12/17/18,,,,2,"House - Ways and Means, Homeland Security",12/17/18,"Referred to the Committee on Ways and Means, and in addition to the Committee on Homeland Security, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H.R. 7324,https://www.congress.gov/bill/115th-congress/house-bill/7324,115th Congress (2017-2018),,Preserving Access to Orphan Drugs Act of 2018,"Rep. Kelly, Mike [R-PA-3]",12/17/18,,,,0,"House - Ways and Means, Energy and Commerce",1/2/19,Referred to the Subcommittee on Health.
H.R. 7323,https://www.congress.gov/bill/115th-congress/house-bill/7323,115th Congress (2017-2018),,Independent and Community Bank Shareholders Protection Act,"Rep. Jenkins, Lynn [R-KS-2]",12/17/18,,,,0,House - Financial Services,12/17/18,Referred to the House Committee on Financial Services.
H.R. 7322,https://www.congress.gov/bill/115th-congress/house-bill/7322,115th Congress (2017-2018),,To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to ensure that unmet needs after a major disaster are met.,"Rep. Graves, Garret [R-LA-6]",12/17/18,,,,1,House - Transportation and Infrastructure,12/18/18,"Referred to the Subcommittee on Economic Development, Public Buildings and Emergency Management."
H.R. 7321,https://www.congress.gov/bill/115th-congress/house-bill/7321,115th Congress (2017-2018),,Blocking Iran Illicit Finance Act,"Rep. Gallagher, Mike [R-WI-8]",12/17/18,,,,6,"House - Foreign Affairs, Financial Services, Judiciary, Ways and Means, Oversight and Government Reform",12/20/18,Referred to the Subcommittee on Trade.
H.R. 7320,https://www.congress.gov/bill/115th-congress/house-bill/7320,115th Congress (2017-2018),,Trauma-Informed Schools Act of 2018,"Rep. Clark, Katherine M. [D-MA-5]",12/17/18,,,,12,House - Education and the Workforce,12/17/18,Referred to the House Committee on Education and the Workforce.
H.R. 7319,https://www.congress.gov/bill/115th-congress/house-bill/7319,115th Congress (2017-2018),,"To amend the Federal Assets Sale and Transfer Act of 2016 to provide flexibility with respect to the leaseback of certain Federal real property, and for other purposes.","Rep. Barletta, Lou [R-PA-11]",12/17/18,,,,1,House - Transportation and Infrastructure,1/14/19,Became Public Law No: 115-438.
